Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
kumarnm_100_1263,2,0.0,0.0,0.5,0.5,0.0,0.4
mf_3379,2,0.0551,0.0,0.6555,0.6536,0.6714,0.5288
mont_st_michel,2,0.5944,0.0303,0.6852,1.0,0.6957,0.3535
moon_and_a_tree,2,0.5004,0.019,0.6846,0.4315,0.6788,0.5853
ninetyeight,2,0,0.0,1.0,1.0,1.0,0.0
nopeeking,2,0.0,0.0,0.0,0.6283,0.0,0.4775
p5014757_cropped,2,0.0,0.1027,1.0,1.0,1.0,0.0
p5067537,2,0.0,0.0,0.6902,0.6868,0.4476,0.5734
pb134930,2,0.0,0.0315,0.6314,0.4503,0.472,0.5966
pc250176,2,0.5,0.0123,0.4678,0.4812,0.4656,0.6664
pc302982,2,0.8362,0.699,1.0,1.0,1.0,0.945
per__02_cropped,2,0.0,0.0255,0.6533,0.6831,0.6688,0.5471
photo-026,2,0.8,0.6667,1.0,1.0,1.0,0.6666
photo_sanary_19-03-05_083,2,0.488,0.014,1.0,0.5412,0.5213,0.4845
pic1077114394,2,0.0,0.0,0.6964,0.491,0.4788,0.0
pic108459418417,2,0.0906,0.1131,1.0,0.0,1.0,0.5707
pic108891392790,2,0.694,0.1164,0.6869,0.5,0.6928,0.6019
pic1091719254143,2,0.0,0.0,0.4523,0.4373,0.0,0.0
pic1092554512177,2,0.0,0.0,0.6839,0.3836,0.5,0.4
reverendb_563667_59178524,2,0.5218,0.5413,0.5216,0.5216,0.5361,0.4084
rollingroscoe__9231871,2,0.8341,0.0552,0.6912,0.659,0.4989,0.6635
roman-pot-31-01-07-02842,2,0,0.1072,0.0,0.5141,0,0.3261
sakurag060521_dysn34,2,0.5178,0.0686,1.0,0.0,1.0,0.3539
sh-med-bandages-082404-01,2,0.46,0.0775,1.0,1.0,1.0,0.5505
sunday_6-24_003,2,0.6615,0.5307,1.0,1.0,1.0,0.8
swan_and_friend,2,0.6781,0.0356,0.6722,0.6835,0.6785,0.5734
thailand-bangkok-building_02,2,0.6653,0.1793,0.6968,0.6952,1.0,0
toplessmonument,2,0.0,0.0,0.0,0.0,0.0,0.0
whitby-pier,2,0.0,0.0,0.503,0.0,0.0,0.4555
yack1,2,0.4097,0.0,1.0,0.6692,1.0,0.668
yokohm060409_dyjsn266,2,0.4859,0.2296,1.0,0.0,0.5207,0.6661
_3076180_cropped,2,0.583,0.6778,1.0,0.6786,0.6937,0.5823
_3076180_cropped2,2,0.5,0.087,1.0,0.6908,0.6962,0.5639
_5161812,2,0.6657,0.1209,0.6953,1.0,1.0,0.5626
_mg_5707,2,0.1408,0.0182,1.0,1.0,1.0,0.6664
