Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
img_1159_i,2,0.0359,0.1418,-0.0119,0.0073,0.0283,0.1046
img_3733_modif,2,0.0405,0.0487,0.0114,0.025,0.0052,0.3043
img_7103r,2,0.4105,0.1656,0.637,0.5951,0.6106,0.5782
img_7121sepiar,2,0.7806,0.7787,0.8624,0.0258,0.9469,0.647
istambulminaret,2,0.1292,0.1482,0.1777,0.3054,0.1167,0.1521
jarndt_100_0021,2,0.3291,0.4599,0.2396,0.2228,0.2359,0.2195
kata_beach_phuket,2,0.786,0.1469,0.8584,0.8584,-0.0123,0.154
kumarnm_100_1263,2,0.0123,0.0058,0.0347,0.0626,0.0091,0.0252
mf_3379,2,0.0145,0.0,0.5456,0.5289,0.6766,0.3214
mont_st_michel,2,0.4708,0.4535,0.4892,0.6578,0.6424,-0.0281
moon_and_a_tree,2,0.4856,0.5164,0.5914,0.0344,0.5325,0.5342
ninetyeight,2,0.3838,0.4323,0.8907,0.8968,0.8932,0.3926
nopeeking,2,0.0263,0.0089,0.1217,-0.0463,0.1072,0.0955
p5014757_cropped,2,0.4591,0.7273,0.8813,0.8813,0.93,0.0743
p5067537,2,0.0943,0.0196,0.7122,0.7453,0.1326,0.6258
pb134930,2,0.0229,0.578,0.2013,-0.0438,0.0271,0.7365
pc250176,2,0.106,0.0955,0.0682,0.1126,0.0603,0.1298
pc302982,2,0.8036,0.9489,0.9791,0.975,0.9835,0.9582
per__02_cropped,2,0.0208,0.5065,0.4179,0.7065,0.5843,0.2893
photo-026,2,0.2886,0.9466,0.9724,0.9744,0.971,0.1911
photo_sanary_19-03-05_083,2,0.5111,0.4291,0.8055,0.2367,0.1745,0.4262
pic1077114394,2,0.1604,0.2196,0.7818,0.182,0.1458,0.0354
pic108459418417,2,0.1949,0.8815,0.9704,0.0013,0.9715,0.4971
pic108891392790,2,0.7234,0.7082,0.5195,0.4348,0.59,0.5772
pic1091719254143,2,0.0011,0.003,0.0415,-0.0262,0.0124,0.0255
pic1092554512177,2,0.0938,0.1921,0.4614,-0.0493,0.5033,0.2103
reverendb_563667_59178524,2,0.4918,0.7593,0.2282,0.2282,0.2625,0.2282
rollingroscoe__9231871,2,0.6689,0.5842,0.7845,0.3786,0.2325,0.3199
roman-pot-31-01-07-02842,2,0.0634,0.076,0.0064,0.0726,0.0023,0.084
sakurag060521_dysn34,2,0.5517,0.5807,0.8498,0.008,0.8878,0.145
sh-med-bandages-082404-01,2,0.8788,0.863,0.9317,0.9489,0.9373,0.3152
sunday_6-24_003,2,0.9193,0.8366,0.9089,0.8636,0.933,0.9544
swan_and_friend,2,0.3212,0.568,0.5167,0.619,0.5769,0.5017
thailand-bangkok-building_02,2,0.5193,0.5253,0.5625,0.5333,0.6247,0.1284
toplessmonument,2,0.079,0.1553,0.0391,0.0456,0.0634,0.1002
whitby-pier,2,0.1054,0.2158,-0.028,-0.0046,0.0072,-0.0399
yack1,2,0.1877,0.1778,0.9062,0.4479,0.9078,0.2581
yokohm060409_dyjsn266,2,0.2719,0.5247,0.9747,0.0002,0.1613,0.5224
_3076180_cropped,2,0.7797,0.6926,0.7962,0.6858,0.7676,0.8007
_3076180_cropped2,2,0.7655,0.426,0.7632,0.7253,0.7671,0.5261
_5161812,2,0.057,0.7775,0.8179,0.8338,0.8292,0.6889
_mg_5707,2,-0.0325,0.6283,0.9407,0.943,0.9427,0.3031
